,total_utility_bill,commission,sex,age,car,marital_status,child,citizenthip
252,29.88,2.2,0,0,1,1,1,1
253,10.48,1.36,1,0,1,0,1,1
254,23.69,1.76,1,0,1,1,1,0
255,26.8,3.2,0,1,1,1,1,3
256,18.99,8.21,0,1,0,0,1,1
257,20.32,9.06,0,0,1,0,2,1
258,14.87,7.87,0,0,1,0,1,1
259,35.96,1.12,1,0,1,0,2,2
260,29.32,8.89,1,1,0,1,2,0
261,20.38,2.73,0,1,1,1,1,3
262,7.46,2.76,0,1,1,0,3,3
263,36.68,7.41,1,0,1,1,3,3
264,15.21,7.3,1,1,1,1,0,1
265,30.96,4.97,1,0,0,1,2,0
266,14.69,5.63,1,0,1,1,0,3
267,2.05,9.66,1,1,0,1,2,1
268,6.38,8.02,1,1,0,1,2,2
269,20.29,7.93,0,0,0,0,3,2
270,23.66,1.31,0,1,0,0,0,3
271,27.29,2.08,1,1,0,1,3,0
272,39.85,8.65,1,0,0,0,3,3
273,7.77,7.38,0,0,0,1,0,0
274,28.72,7.5,1,1,0,0,3,2
275,38.21,6.7,0,0,1,0,3,2
276,3.3,7.62,1,1,0,1,0,1
277,7.84,1.54,0,0,1,1,3,3
278,39.26,9.02,0,1,0,1,0,2
279,44.65,9.75,1,1,0,1,1,0
280,44.39,6.59,1,1,1,1,1,0
281,47.81,6.97,1,1,0,1,2,2
282,6.49,5.94,0,0,0,1,0,1
283,42.36,5.93,0,1,0,1,3,1
284,19.5,7.6,0,0,1,0,3,0
285,34.22,1.42,0,0,0,0,2,0
286,36.44,2.81,0,1,1,1,2,2
287,34.29,2.13,0,0,0,0,1,1
288,29.27,7.98,1,1,0,0,1,3
289,41.64,7.03,0,1,0,1,3,1
290,21.78,2.71,0,1,0,1,0,3
291,34.81,1.71,1,1,1,1,1,1
292,19.2,9.9,0,0,1,1,0,2
293,22.09,2.67,0,0,0,0,1,3
294,25.14,4.15,0,1,1,0,2,1
295,1.63,3.07,0,1,0,1,3,3
296,19.43,3.69,1,0,0,1,2,1
297,35.33,5.01,0,1,1,1,3,2
298,3.62,7.08,0,1,0,1,2,3
299,9.48,1.2,0,0,0,1,3,1
300,14.82,9.87,1,0,1,1,3,3
301,17.15,2.67,1,1,1,1,2,2
302,49.33,8.02,0,0,0,1,3,0
303,11.25,4.0,1,1,1,1,1,0
304,25.85,6.91,1,0,0,1,1,3
305,10.55,8.14,0,1,0,0,1,1
306,19.0,3.13,0,1,1,0,1,0
307,23.49,8.27,0,1,0,0,1,2
308,39.12,8.4,0,1,0,1,0,1
309,43.44,9.63,0,1,1,0,1,1
310,49.79,6.04,1,0,0,0,1,0
311,27.84,1.31,0,1,0,1,2,2
312,24.04,2.99,1,1,0,1,3,1
313,10.26,7.82,1,1,1,1,2,1
314,46.89,9.04,1,0,1,1,2,1
315,26.1,7.72,1,0,0,0,3,0
316,20.6,6.84,0,1,0,1,1,0
317,45.37,4.88,0,1,1,0,0,1
318,13.29,9.06,0,1,1,0,1,1
319,17.78,3.15,0,0,1,0,0,2
320,41.93,4.18,0,0,0,1,3,0
321,35.39,8.9,0,0,1,0,0,3
322,9.8,9.92,1,1,1,1,0,1
323,38.47,4.56,1,1,1,1,3,3
324,23.48,5.94,1,1,1,1,0,0
325,4.04,4.0,1,1,0,1,2,3
326,8.94,4.04,1,0,0,1,2,2
327,20.84,7.84,0,0,1,1,2,0
328,8.43,4.97,0,0,0,1,3,0
329,28.81,1.29,1,0,0,1,3,2
330,9.5,5.13,1,0,1,0,1,0
331,43.61,9.04,0,1,1,0,0,0
332,31.25,4.3,0,0,0,1,3,1
333,10.73,7.39,0,1,1,0,2,2
334,28.77,6.92,1,1,0,1,2,1
335,21.85,6.65,1,1,0,1,2,1
336,32.02,4.17,0,0,0,1,3,3
337,29.31,6.11,0,0,0,1,1,0
338,2.08,6.78,1,1,0,1,2,3
339,37.03,2.31,0,1,0,1,3,2
340,23.76,5.29,1,1,0,0,0,3
341,20.13,4.91,1,0,1,0,0,2
342,19.88,2.92,1,0,1,1,3,2
343,12.71,9.14,0,0,1,1,3,2
344,10.08,3.16,0,0,1,1,2,0
345,5.52,9.84,1,1,0,1,0,3
346,15.4,6.12,1,0,0,1,0,0
347,29.11,4.09,1,1,0,0,3,3
348,45.44,5.56,1,0,1,1,1,2
349,36.14,6.37,1,1,1,0,1,2
350,6.07,6.19,0,1,0,0,0,2
351,31.61,1.9,0,0,1,0,1,1
352,45.54,4.98,1,0,1,0,2,0
353,6.35,7.67,0,1,1,0,2,3
354,35.29,2.08,0,1,1,1,1,2
355,9.91,2.92,1,0,1,0,0,0
356,48.64,1.47,0,0,1,1,1,3
357,9.02,2.63,1,0,1,0,2,3
358,9.75,2.09,0,1,0,1,3,2
359,30.18,6.27,0,1,1,0,2,3
360,35.68,3.17,0,0,0,1,0,2
361,34.68,2.92,0,0,0,1,2,2
362,36.16,2.3,0,0,1,0,0,2
363,15.52,6.67,1,1,1,1,0,1
364,49.52,5.33,0,1,1,0,0,3
365,8.11,6.51,0,1,0,1,0,2
366,32.03,1.88,1,1,1,0,0,1
367,8.57,1.36,1,0,1,1,1,3
368,48.17,1.29,0,1,0,1,1,1
369,14.32,4.3,1,1,1,0,0,0
370,14.46,1.23,1,0,0,0,2,3
371,35.99,5.97,1,1,1,1,1,1
372,49.97,1.87,1,1,1,0,0,0
373,23.37,7.25,0,1,1,1,2,0
374,49.68,5.55,0,0,0,1,0,0
375,25.21,1.95,1,1,1,1,1,0
376,39.02,7.57,1,0,1,1,1,0
377,35.14,6.18,0,0,1,0,0,1
378,21.56,1.59,0,1,1,1,1,2
379,49.85,5.04,0,1,1,0,2,2
380,44.26,1.33,0,1,1,1,0,2
381,5.16,9.82,0,1,0,0,2,3
382,34.74,7.16,0,0,0,0,3,3
383,43.08,2.34,0,1,1,1,2,1
384,9.35,8.24,1,0,0,0,0,1
385,2.39,7.87,1,0,0,1,3,3
386,36.56,6.37,0,0,1,1,3,3
387,4.85,4.85,1,1,1,0,0,1
388,39.41,6.51,0,1,0,1,2,1
389,29.5,7.86,0,1,0,0,2,3
390,14.46,5.32,0,0,0,0,1,1
391,46.03,8.3,1,1,1,0,3,0
392,23.79,3.89,0,0,0,1,3,3
393,39.55,6.25,1,0,1,1,0,2
394,24.9,2.1,1,1,0,0,0,3
395,33.0,6.54,1,1,1,0,0,3
396,46.58,3.84,1,0,0,1,0,3
397,11.92,3.34,1,0,1,0,0,1
398,17.42,7.47,1,1,1,1,1,2
399,43.82,5.45,1,0,1,1,1,0
400,5.23,9.47,0,0,0,0,0,2
401,27.69,7.69,0,0,1,0,1,1
402,36.59,3.48,1,0,1,0,2,1
403,37.77,2.05,1,0,1,1,0,1
404,8.46,2.29,1,0,1,0,0,0
405,40.82,1.13,0,1,0,1,1,1
406,28.7,3.31,0,0,1,1,2,1
407,21.51,7.46,1,0,1,0,0,1
408,6.49,1.42,0,0,1,0,3,2
409,41.51,1.33,1,0,0,0,1,0
410,39.32,3.22,1,0,0,1,3,2
411,22.91,8.0,0,1,1,1,3,2
412,41.33,8.36,1,0,0,1,2,3
413,7.61,5.43,0,0,1,1,1,3
414,37.3,6.3,1,0,0,0,0,2
415,16.71,7.22,0,1,0,1,1,2
416,2.82,9.1,1,0,1,1,1,0
417,37.7,7.81,1,1,0,1,1,1
418,30.58,2.82,1,0,0,0,2,2
419,42.59,5.39,1,1,1,0,3,0
420,41.87,2.65,0,0,0,1,2,3
421,10.29,6.31,0,1,1,1,2,0
422,11.98,1.46,0,1,0,0,2,2
423,44.41,8.58,1,1,0,1,1,2
424,38.11,5.05,0,0,0,0,0,0
425,34.55,3.79,1,1,1,1,0,0
426,3.69,1.03,0,1,1,0,0,0
427,32.23,1.75,0,1,0,1,0,0
428,8.48,4.46,1,0,1,1,3,2
429,21.83,2.06,1,1,0,0,2,3
430,24.01,8.85,1,0,1,1,2,0
431,46.51,6.82,1,0,1,0,2,1
432,22.54,6.73,1,0,0,1,1,1
433,41.68,3.82,0,0,1,1,0,0
434,45.62,1.05,1,0,1,0,0,3
435,36.48,6.5,1,0,1,0,3,0
436,37.02,9.34,1,1,0,1,2,3
437,9.89,1.92,1,0,1,0,3,1
438,24.44,3.51,0,0,1,1,2,2
439,42.85,9.65,1,1,0,0,1,3
440,48.52,4.35,0,1,1,1,1,2
441,16.15,7.13,0,0,0,0,1,2
442,13.83,5.83,0,1,0,0,1,1
443,2.84,8.8,0,1,1,0,2,3
444,30.84,3.76,1,1,1,1,3,2
445,7.95,4.7,1,0,1,1,1,2
446,3.0,2.34,0,1,1,0,2,3
447,30.13,1.35,0,1,0,1,0,1
448,6.99,9.74,1,0,1,1,0,1
449,25.12,6.0,1,0,0,0,2,1
450,7.51,6.13,0,0,0,1,3,1
451,47.72,2.54,0,1,1,1,1,2
452,21.23,3.67,1,1,0,1,1,3
453,30.41,4.33,0,0,0,1,0,2
454,20.63,7.94,1,0,1,0,1,3
455,39.95,3.29,0,1,0,1,1,1
456,43.74,1.76,1,0,0,1,0,3
457,45.42,2.1,0,1,0,0,3,2
458,27.39,8.7,1,1,1,1,3,2
459,32.45,1.67,0,1,0,0,1,1
460,30.9,4.81,0,1,1,0,3,2
461,43.79,6.59,0,0,1,0,2,1
462,29.72,6.15,0,0,1,0,3,1
463,31.46,1.23,1,0,0,0,3,3
464,37.95,6.69,1,1,1,1,1,0
465,34.95,2.07,1,1,1,0,2,0
466,28.73,5.56,0,1,0,0,3,0
467,23.25,6.39,0,0,0,0,1,2
468,7.76,8.69,1,0,0,1,2,3
469,7.58,5.04,0,1,0,0,1,3
470,27.28,4.28,0,0,0,0,1,3
471,11.03,3.03,1,1,1,0,3,3
472,20.4,2.02,0,0,1,0,1,1
473,38.55,4.74,1,1,0,1,1,1
474,26.16,5.05,1,0,1,0,1,0
475,41.11,4.43,1,0,1,1,2,3
476,10.52,9.12,0,1,1,1,3,3
477,4.21,6.72,1,1,1,0,1,3
478,44.98,5.73,1,0,0,1,2,0
479,29.32,1.34,1,0,1,1,0,1
480,37.57,8.76,1,0,0,1,3,2
481,37.06,4.11,0,0,0,1,1,2
482,40.21,9.88,1,0,1,1,3,3
483,44.32,3.3,0,0,1,1,2,0
484,24.73,8.58,1,0,0,0,2,1
485,33.87,3.19,0,1,1,1,0,3
486,22.23,9.01,0,1,1,1,2,0
487,14.21,5.61,1,1,1,1,2,2
488,20.38,8.74,0,1,0,1,0,0
489,2.04,4.26,1,0,0,0,1,0
490,39.41,1.28,0,0,1,0,1,2
491,29.99,7.3,0,1,1,0,3,3
492,38.28,3.37,0,0,0,1,2,1
493,11.83,1.6,0,1,0,1,3,0
494,29.14,6.49,1,0,0,1,1,2
495,15.91,6.78,1,1,1,1,1,3
496,11.22,1.7,0,0,1,1,2,1
497,6.9,1.82,1,0,0,1,1,2
498,17.6,3.55,0,1,0,1,1,2
499,25.84,9.64,1,1,1,0,3,2
500,2.46,1.49,0,0,0,0,3,2
501,36.6,2.97,1,1,1,0,3,1
502,20.45,9.12,1,1,1,0,0,3
503,23.32,4.33,1,1,0,1,1,2
504,43.7,2.52,1,0,1,1,0,2
505,21.86,4.39,0,0,0,1,0,2
506,9.45,9.79,0,0,1,1,1,0
507,18.72,4.84,1,1,1,1,1,2
508,32.44,9.89,0,0,0,0,3,2
509,45.38,4.17,0,0,1,0,3,3
510,38.81,3.6,0,0,0,1,1,0
511,14.71,5.87,1,1,1,0,2,0
